population,ecoregion,year,abundance,data_source
Misty Mountain,mountain,2013,,counts
Misty Mountain,mountain,2014,,counts
Misty Mountain,mountain,2015,,counts
Realm of Spriits,palms,1995,250,anecdotal
Realm of Spriits,palms,1996,250,anecdotal
Realm of Spriits,palms,1997,245,anecdotal
Realm of Spriits,palms,1998,250,anecdotal
Realm of Spriits,palms,1999,250,anecdotal
Realm of Spriits,palms,2000,,anecdotal
Realm of Spriits,palms,2001,,anecdotal
Realm of Spriits,palms,2002,200,anecdotal
Realm of Spriits,palms,2003,250,anecdotal
Realm of Spriits,palms,2004,250,anecdotal
Realm of Spriits,palms,2005,250,anecdotal
Realm of Spriits,palms,2006,,anecdotal
Realm of Spriits,palms,2007,,anecdotal
Realm of Spriits,palms,2008,,anecdotal
Realm of Spriits,palms,2009,,anecdotal
Realm of Spriits,palms,2010,,anecdotal
Realm of Spriits,palms,2011,,anecdotal
Realm of Spriits,palms,2012,250,anecdotal
Realm of Spriits,palms,2013,250,anecdotal
Realm of Spriits,palms,2014,250,anecdotal
Realm of Spriits,palms,2015,250,anecdotal
Skull Mountain,mountain,?,400,oral history
Skull Mountain,mountain,2015,0,oral history
Snowmelt Thicket,palms,2010,200,based on Dead Man Dunes
Snowmelt Thicket,palms,2011,,based on Dead Man Dunes
Snowmelt Thicket,palms,2012,,based on Dead Man Dunes
Snowmelt Thicket,palms,2013,,based on Dead Man Dunes
Snowmelt Thicket,palms,2014,,based on Dead Man Dunes
Snowmelt Thicket,palms,2015,,based on Dead Man Dunes
Treasure Grove,palms,2001,,anecdotal
Treasure Grove,palms,2002,,anecdotal
Treasure Grove,palms,2003,,anecdotal
Treasure Grove,palms,2004,,anecdotal
Treasure Grove,palms,2005,,anecdotal
Treasure Grove,palms,2006,,anecdotal
Treasure Grove,palms,2007,,anecdotal
Treasure Grove,palms,2008,,anecdotal
Treasure Grove,palms,2009,,anecdotal
Treasure Grove,palms,2010,,anecdotal
Treasure Grove,palms,2011,,anecdotal
Treasure Grove,palms,2012,,anecdotal
Treasure Grove,palms,2013,,anecdotal
Treasure Grove,palms,2014,,anecdotal
Treasure Grove,palms,2015,,anecdotal
Treasure Grove,palms,2000,100,anecdotal
